evento,janela_ini,janela_fim,estacao_chuva,n_dias_chuva,chuva_total_mm,chuva_max_diaria_mm,chuva_max_data,uvaia_pico_cm,uvaia_pico_data,lajeado_pico_cm,lajeado_pico_data,lag_dias
out-nov/2025,2025-10-20,2025-11-10,1101,22,164.1,69.4,2025-10-28,333,2025-11-10,491,2025-11-04,6
out-nov/2025,2025-10-20,2025-11-10,1105,22,111.6,31.8,2025-11-07,333,2025-11-10,491,2025-11-04,6
out-nov/2025,2025-10-20,2025-11-10,2056,22,160.2,43.2,2025-10-28,333,2025-11-10,491,2025-11-04,6
out-nov/2025,2025-10-20,2025-11-10,2241,22,109.8,45.2,2025-11-07,333,2025-11-10,491,2025-11-04,6
out-nov/2025,2025-10-20,2025-11-10,IAT_2450054,0,sem-dados,sem-dados,sem-dados,333,2025-11-10,491,2025-11-04,6
out-nov/2025,2025-10-20,2025-11-10,83811,0,sem-dados,sem-dados,sem-dados,333,2025-11-10,491,2025-11-04,6
out-nov/2025,2025-10-20,2025-11-10,83813,0,sem-dados,sem-dados,sem-dados,333,2025-11-10,491,2025-11-04,6
out-nov/2025,2025-10-20,2025-11-10,sih:2450021,22,138.3,41.7,2025-11-08,333,2025-11-10,491,2025-11-04,6
out-nov/2025,2025-10-20,2025-11-10,sih:2549052,22,112.5,41.7,2025-11-08,333,2025-11-10,491,2025-11-04,6
out-nov/2025,2025-10-20,2025-11-10,sih:2550043,22,152.6,34.6,2025-11-02,333,2025-11-10,491,2025-11-04,6
out-nov/2025,2025-10-20,2025-11-10,sma:1105,22,111.6,31.8,2025-11-07,333,2025-11-10,491,2025-11-04,6
out-nov/2025,2025-10-20,2025-11-10,sma:1112,22,108.8,44.0,2025-11-02,333,2025-11-10,491,2025-11-04,6
out-nov/2025,2025-10-20,2025-11-10,sma:1124,22,102.2,19.8,2025-11-02,333,2025-11-10,491,2025-11-04,6
out-nov/2025,2025-10-20,2025-11-10,sma:1133,22,97.4,38.0,2025-11-02,333,2025-11-10,491,2025-11-04,6
out-nov/2025,2025-10-20,2025-11-10,sma:1224,22,73.7,28.5,2025-11-02,333,2025-11-10,491,2025-11-04,6
out-nov/2025,2025-10-20,2025-11-10,sma:2305,22,136.6,51.2,2025-11-01,333,2025-11-10,491,2025-11-04,6
out-nov/2025,2025-10-20,2025-11-10,sma:2320,22,142.2,54.2,2025-10-28,333,2025-11-10,491,2025-11-04,6
out-nov/2025,2025-10-20,2025-11-10,sma:2411,22,96.4,26.4,2025-11-07,333,2025-11-10,491,2025-11-04,6
out-nov/2025,2025-10-20,2025-11-10,sma:2529,22,159.9,42.26,2025-10-29,333,2025-11-10,491,2025-11-04,6
out-nov/2025,2025-10-20,2025-11-10,sma:2730,22,121.4,50.0,2025-10-28,333,2025-11-10,491,2025-11-04,6
out-nov/2025,2025-10-20,2025-11-10,sma:2733,22,102.6,27.4,2025-10-28,333,2025-11-10,491,2025-11-04,6
out-nov/2025,2025-10-20,2025-11-10,sma:2745,22,124.8,41.2,2025-11-02,333,2025-11-10,491,2025-11-04,6
out-nov/2025,2025-10-20,2025-11-10,sma:2904,22,148.4,35.6,2025-11-01,333,2025-11-10,491,2025-11-04,6
out-nov/2025,2025-10-20,2025-11-10,sma:819,0,sem-dados,sem-dados,sem-dados,333,2025-11-10,491,2025-11-04,6
jan/2025,2025-01-15,2025-01-25,1101,11,71.6,21.8,2025-01-18,228,2025-01-23,226,2025-01-22,1
jan/2025,2025-01-15,2025-01-25,1105,11,146.6,43.6,2025-01-19,228,2025-01-23,226,2025-01-22,1
jan/2025,2025-01-15,2025-01-25,2056,11,226.2,143.0,2025-01-19,228,2025-01-23,226,2025-01-22,1
jan/2025,2025-01-15,2025-01-25,2241,11,82.0,21.6,2025-01-19,228,2025-01-23,226,2025-01-22,1
jan/2025,2025-01-15,2025-01-25,IAT_2450054,0,sem-dados,sem-dados,sem-dados,228,2025-01-23,226,2025-01-22,1
jan/2025,2025-01-15,2025-01-25,83811,0,sem-dados,sem-dados,sem-dados,228,2025-01-23,226,2025-01-22,1
jan/2025,2025-01-15,2025-01-25,83813,0,sem-dados,sem-dados,sem-dados,228,2025-01-23,226,2025-01-22,1
jan/2025,2025-01-15,2025-01-25,sih:2450021,11,163.9,64.6,2025-01-19,228,2025-01-23,226,2025-01-22,1
jan/2025,2025-01-15,2025-01-25,sih:2549052,11,82.3,33.8,2025-01-19,228,2025-01-23,226,2025-01-22,1
jan/2025,2025-01-15,2025-01-25,sih:2550043,11,55.8,18.6,2025-01-25,228,2025-01-23,226,2025-01-22,1
jan/2025,2025-01-15,2025-01-25,sma:1105,11,146.6,43.6,2025-01-19,228,2025-01-23,226,2025-01-22,1
jan/2025,2025-01-15,2025-01-25,sma:1112,11,125.0,50.4,2025-01-17,228,2025-01-23,226,2025-01-22,1
jan/2025,2025-01-15,2025-01-25,sma:1124,11,137.8,68.0,2025-01-19,228,2025-01-23,226,2025-01-22,1
jan/2025,2025-01-15,2025-01-25,sma:1133,11,104.2,49.8,2025-01-19,228,2025-01-23,226,2025-01-22,1
jan/2025,2025-01-15,2025-01-25,sma:1224,11,123.0,45.0,2025-01-17,228,2025-01-23,226,2025-01-22,1
jan/2025,2025-01-15,2025-01-25,sma:2305,11,134.0,58.4,2025-01-17,228,2025-01-23,226,2025-01-22,1
jan/2025,2025-01-15,2025-01-25,sma:2320,11,87.2,20.6,2025-01-19,228,2025-01-23,226,2025-01-22,1
jan/2025,2025-01-15,2025-01-25,sma:2411,11,121.4,46.8,2025-01-19,228,2025-01-23,226,2025-01-22,1
jan/2025,2025-01-15,2025-01-25,sma:2529,11,109.6,35.0,2025-01-19,228,2025-01-23,226,2025-01-22,1
jan/2025,2025-01-15,2025-01-25,sma:2730,11,61.8,18.4,2025-01-19,228,2025-01-23,226,2025-01-22,1
jan/2025,2025-01-15,2025-01-25,sma:2733,11,64.8,23.2,2025-01-20,228,2025-01-23,226,2025-01-22,1
jan/2025,2025-01-15,2025-01-25,sma:2745,11,121.4,52.2,2025-01-19,228,2025-01-23,226,2025-01-22,1
jan/2025,2025-01-15,2025-01-25,sma:2904,11,208.0,42.2,2025-01-19,228,2025-01-23,226,2025-01-22,1
jan/2025,2025-01-15,2025-01-25,sma:819,0,sem-dados,sem-dados,sem-dados,228,2025-01-23,226,2025-01-22,1
dez/2024,2024-12-01,2024-12-20,1101,20,263.4,106.4,2024-12-07,888,2024-12-16,796,2024-12-12,4
dez/2024,2024-12-01,2024-12-20,1105,20,273.4,104.4,2024-12-09,888,2024-12-16,796,2024-12-12,4
dez/2024,2024-12-01,2024-12-20,2056,20,380.6,149.0,2024-12-07,888,2024-12-16,796,2024-12-12,4
dez/2024,2024-12-01,2024-12-20,2241,20,281.6,110.8,2024-12-07,888,2024-12-16,796,2024-12-12,4
dez/2024,2024-12-01,2024-12-20,IAT_2450054,0,sem-dados,sem-dados,sem-dados,888,2024-12-16,796,2024-12-12,4
dez/2024,2024-12-01,2024-12-20,83811,0,sem-dados,sem-dados,sem-dados,888,2024-12-16,796,2024-12-12,4
dez/2024,2024-12-01,2024-12-20,83813,0,sem-dados,sem-dados,sem-dados,888,2024-12-16,796,2024-12-12,4
dez/2024,2024-12-01,2024-12-20,sih:2450021,20,325.3,97.2,2024-12-09,888,2024-12-16,796,2024-12-12,4
dez/2024,2024-12-01,2024-12-20,sih:2549052,20,276.4,80.1,2024-12-09,888,2024-12-16,796,2024-12-12,4
dez/2024,2024-12-01,2024-12-20,sih:2550043,20,226.9,73.1,2024-12-07,888,2024-12-16,796,2024-12-12,4
dez/2024,2024-12-01,2024-12-20,sma:1105,20,273.4,104.4,2024-12-09,888,2024-12-16,796,2024-12-12,4
dez/2024,2024-12-01,2024-12-20,sma:1112,20,366.0,115.8,2024-12-07,888,2024-12-16,796,2024-12-12,4
dez/2024,2024-12-01,2024-12-20,sma:1124,20,353.4,148.4,2024-12-09,888,2024-12-16,796,2024-12-12,4
dez/2024,2024-12-01,2024-12-20,sma:1133,20,251.4,110.8,2024-12-07,888,2024-12-16,796,2024-12-12,4
dez/2024,2024-12-01,2024-12-20,sma:1224,20,320.7,103.4,2024-12-07,888,2024-12-16,796,2024-12-12,4
dez/2024,2024-12-01,2024-12-20,sma:2305,20,417.0,133.8,2024-12-07,888,2024-12-16,796,2024-12-12,4
dez/2024,2024-12-01,2024-12-20,sma:2320,20,289.2,105.8,2024-12-09,888,2024-12-16,796,2024-12-12,4
dez/2024,2024-12-01,2024-12-20,sma:2411,20,270.8,107.0,2024-12-07,888,2024-12-16,796,2024-12-12,4
dez/2024,2024-12-01,2024-12-20,sma:2529,20,287.8,102.6,2024-12-07,888,2024-12-16,796,2024-12-12,4
dez/2024,2024-12-01,2024-12-20,sma:2730,20,349.4,130.6,2024-12-09,888,2024-12-16,796,2024-12-12,4
dez/2024,2024-12-01,2024-12-20,sma:2733,20,265.0,95.8,2024-12-07,888,2024-12-16,796,2024-12-12,4
dez/2024,2024-12-01,2024-12-20,sma:2745,20,302.4,116.0,2024-12-07,888,2024-12-16,796,2024-12-12,4
dez/2024,2024-12-01,2024-12-20,sma:2904,20,395.2,96.4,2024-12-07,888,2024-12-16,796,2024-12-12,4
dez/2024,2024-12-01,2024-12-20,sma:819,0,sem-dados,sem-dados,sem-dados,888,2024-12-16,796,2024-12-12,4
out-nov/2023,2023-10-20,2023-11-15,1101,27,417.4,102.0,2023-10-29,1232,2023-11-04,854,2023-11-01,3
out-nov/2023,2023-10-20,2023-11-15,1105,27,285.4,70.2,2023-10-29,1232,2023-11-04,854,2023-11-01,3
out-nov/2023,2023-10-20,2023-11-15,2056,27,465.9,96.9,2023-10-29,1232,2023-11-04,854,2023-11-01,3
out-nov/2023,2023-10-20,2023-11-15,2241,27,260.8,72.0,2023-10-29,1232,2023-11-04,854,2023-11-01,3
out-nov/2023,2023-10-20,2023-11-15,IAT_2450054,0,sem-dados,sem-dados,sem-dados,1232,2023-11-04,854,2023-11-01,3
out-nov/2023,2023-10-20,2023-11-15,83811,0,sem-dados,sem-dados,sem-dados,1232,2023-11-04,854,2023-11-01,3
out-nov/2023,2023-10-20,2023-11-15,83813,0,sem-dados,sem-dados,sem-dados,1232,2023-11-04,854,2023-11-01,3
out-nov/2023,2023-10-20,2023-11-15,sih:2450021,27,290.9,107.9,2023-10-29,1232,2023-11-04,854,2023-11-01,3
out-nov/2023,2023-10-20,2023-11-15,sih:2549052,27,299.2,101.7,2023-10-29,1232,2023-11-04,854,2023-11-01,3
out-nov/2023,2023-10-20,2023-11-15,sih:2550043,27,283.8,69.4,2023-10-29,1232,2023-11-04,854,2023-11-01,3
out-nov/2023,2023-10-20,2023-11-15,sma:1105,27,285.4,70.2,2023-10-29,1232,2023-11-04,854,2023-11-01,3
out-nov/2023,2023-10-20,2023-11-15,sma:1112,27,359.6,90.8,2023-10-29,1232,2023-11-04,854,2023-11-01,3
out-nov/2023,2023-10-20,2023-11-15,sma:1124,27,320.0,96.8,2023-10-29,1232,2023-11-04,854,2023-11-01,3
out-nov/2023,2023-10-20,2023-11-15,sma:1133,27,280.2,82.2,2023-10-29,1232,2023-11-04,854,2023-11-01,3
out-nov/2023,2023-10-20,2023-11-15,sma:1224,27,242.0,84.8,2023-10-29,1232,2023-11-04,854,2023-11-01,3
out-nov/2023,2023-10-20,2023-11-15,sma:2305,27,409.6,86.2,2023-10-29,1232,2023-11-04,854,2023-11-01,3
out-nov/2023,2023-10-20,2023-11-15,sma:2320,27,382.8,84.0,2023-10-28,1232,2023-11-04,854,2023-11-01,3
out-nov/2023,2023-10-20,2023-11-15,sma:2411,27,320.2,75.4,2023-10-29,1232,2023-11-04,854,2023-11-01,3
out-nov/2023,2023-10-20,2023-11-15,sma:2529,27,370.4,95.4,2023-10-29,1232,2023-11-04,854,2023-11-01,3
out-nov/2023,2023-10-20,2023-11-15,sma:2730,27,405.8,119.8,2023-10-29,1232,2023-11-04,854,2023-11-01,3
out-nov/2023,2023-10-20,2023-11-15,sma:2733,27,273.6,65.8,2023-10-29,1232,2023-11-04,854,2023-11-01,3
out-nov/2023,2023-10-20,2023-11-15,sma:2745,0,sem-dados,sem-dados,sem-dados,1232,2023-11-04,854,2023-11-01,3
out-nov/2023,2023-10-20,2023-11-15,sma:2904,27,369.0,74.8,2023-11-03,1232,2023-11-04,854,2023-11-01,3
out-nov/2023,2023-10-20,2023-11-15,sma:819,0,sem-dados,sem-dados,sem-dados,1232,2023-11-04,854,2023-11-01,3
