codigo,nome,municipio,lat,lon,alt_m,area_dren_km2,operadora,operando
64430150,PORTO DE AREIA BRASIL,PALMEIRA,-25.3211,-49.9681,802,,IAT-PR,1
64444000,UHE GOV. JAYME CANET JUNIOR UVAIA MONTANTE,PONTA GROSSA,-25.0756,-50.3889,975,4580,COPEL,1
64464995,UHE GOV. JAYME CANET JUNIOR TIBAGI MONTANTE,TIBAGI,-24.5122,-50.4111,720,8920,COPEL,1
64469845,UHE TIBAGI MONTANTE BARRAMENTO,TIBAGI,-24.5344,-50.4089,722,8835,TIBAGI,1
64469850,UHE TIBAGI MONTANTE JUSANTE,TIBAGI,-24.5275,-50.4072,710,8836,TIBAGI,1
64482000,UHE CAPIVARA TELÊMACO BORBA,TELÊMACO BORBA,-24.3603,-50.5939,637.03,13800,PARANAPANEMA,1
64489000,UHE GOV. JAYME CANET JUNIOR BARRAMENTO,TELÊMACO BORBA,-24.0633,-50.7014,,15423,COPEL,1
64490800,PCH SALTO MAUÁ JUSANTE,ORTIGUEIRA,-24.045,-50.7128,,14000,KLABIN,1
64490850,MOCOCA,ORTIGUEIRA,-23.9972,-50.7436,,16500,CONS.CECS,1
64491000,UHE GOV. JAYME CANET JUNIOR RIB. DAS ANTAS JUSANTE,CURIÚVA,-24.0322,-50.6925,512,16100,COPEL,1
64498560,BARÃO DE ANTONINA,SÃO JERÔNIMO DA SER,-23.6733,-50.91,,18700,CONS.CECS,1
64501000,PORTO LONDRINA,LONDRINA,-23.6372,-50.9233,400,18700,IAT-PR,1
64504210,CEBOLÃO,LONDRINA,-23.4502,-50.9662,390,20700,IAT-PR,1
64506000,CHACARA ANA CLAÚDIA,JATAIZINHO,-23.3119,-50.9953,346,21900,IAT-PR,1
64507000,UHE CAPIVARA JATAIZINHO,JATAIZINHO,-23.2497,-50.9839,335.95,21900,PARANAPANEMA,1
