evento,janela_ini,janela_fim,uvaia_n_dias,uvaia_pico_cm,uvaia_pico_data,uvaia_media_cm,lajeado_n_dias,lajeado_pico_cm,lajeado_pico_data,lajeado_media_cm,lag_pico_dias_laj_para_uvaia
out-nov/2025,2025-10-20,2025-11-10,22,333,2025-11-10,236.8,22,491,2025-11-04,359.3,6
jan/2025,2025-01-15,2025-01-25,11,228,2025-01-23,169.7,11,226,2025-01-22,200.1,1
dez/2024,2024-12-01,2024-12-20,20,888,2024-12-16,487.8,20,796,2024-12-12,514.2,4
out-nov/2023,2023-10-20,2023-11-15,27,1232,2023-11-04,962.1,27,854,2023-11-01,700.1,3
out-nov/2022,2022-10-20,2022-11-10,22,406,2022-11-07,371.9,22,595,2022-11-05,499.6,2
jun/2022,2022-06-01,2022-06-30,30,595,2022-06-11,399.0,30,681,2022-06-07,469.5,4
jan/2021,2021-01-01,2021-01-31,31,673,2021-01-30,278.0,31,730,2021-01-24,384.3,6
mai-jun/2019,2019-05-15,2019-06-30,47,921,2019-06-07,451.6,47,772,2019-06-03,439.4,4
jun/2017,2017-06-01,2017-06-30,30,659,2017-06-13,419.9,30,690,2017-06-11,451.9,2
jul/2015,2015-07-01,2015-07-31,31,986,2015-07-22,601.5,31,797,2015-07-18,570.6,4
out/2015,2015-10-01,2015-10-31,31,371,2015-10-19,306.6,31,551,2015-10-16,430.7,3
jun/2014,2014-06-01,2014-06-30,30,995,2014-06-13,597.4,30,868,2014-06-10,555.7,3
jun-jul/2013,2013-06-01,2013-07-31,61,1033,2013-06-28,505.2,61,795,2013-06-24,493.5,4
jun/2012,2012-06-01,2012-06-30,30,645,2012-06-15,509.6,30,668,2012-06-10,551.3,5
ago/2011,2011-08-01,2011-08-31,31,934,2011-08-07,712.2,31,785,2011-08-04,633.8,3
